LÄN;KOMMUN;Mtal;Mproc;Ctal;Cproc;FPtal;FPproc;KDtal;KDproc;Stal;Sproc;Vtal;Vproc;MPtal;MPproc;SDtal;SDproc;FItal;FIproc;OVRtal;OVRproc;BLtal;BLproc;OGtal;OGproc;RostGiltiga;Rostande;Rostb;VDT
Blekinge län;Karlshamn;3923;18,69;1015;4,84;616;2,93;647;3,08;8114;38,65;1044;4,97;1192;5,68;3867;18,42;430;2,05;144;0,69;218;1,03;3;0,01;20992;21213;24702;85,88
Blekinge län;Karlskrona;8848;20,71;2493;5,83;2225;5,21;1674;3,92;15522;36,33;1954;4,57;2309;5,4;6603;15,45;755;1,77;344;0,81;364;0,84;4;0,01;42727;43095;49012;87,93
Blekinge län;Olofström;1123;13,41;473;5,65;168;2,01;287;3,43;3839;45,86;413;4,93;295;3,52;1602;19,14;97;1,16;75;0,9;111;1,31;7;0,08;8372;8490;10131;83,8
Blekinge län;Ronneby;3335;17,84;1289;6,89;653;3,49;534;2,86;6731;36;972;5,2;732;3,92;4028;21,55;274;1,47;147;0,79;169;0,9;5;0,03;18695;18869;21746;86,77
Blekinge län;Sölvesborg;2595;22,69;522;4,56;322;2,81;341;2,98;3775;33;363;3,17;441;3,86;2860;25;145;1,27;75;0,66;112;0,97;2;0,02;11439;11553;13273;87,04
Dalarnas län;Avesta;2264;15,45;825;5,63;453;3,09;439;3;6121;41,77;820;5,6;525;3,58;2837;19,36;222;1,51;148;1,01;154;1,04;5;0,03;14654;14813;17224;86
Dalarnas län;Borlänge;5713;18;1615;5,09;1181;3,72;1001;3,15;11825;37,26;1953;6,15;1768;5,57;5617;17,7;733;2,31;334;1,05;396;1,23;10;0,03;31740;32146;37298;86,19
Dalarnas län;Falun;8871;23,19;3058;7,99;1711;4,47;1466;3,83;11555;30,21;2271;5,94;2749;7,19;4912;12,84;1278;3,34;380;0,99;464;1,2;14;0,04;38251;38729;44325;87,38
Dalarnas län;Gagnef;1225;18,09;786;11,61;211;3,12;284;4,19;2214;32,7;348;5,14;293;4,33;1170;17,28;179;2,64;61;0,9;92;1,34;0;0;6771;6863;7791;88,09
Dalarnas län;Hedemora;1756;17,7;920;9,27;278;2,8;306;3,08;3478;35,05;605;6,1;445;4,48;1732;17,45;244;2,46;159;1,6;125;1,24;2;0,02;9923;10050;11875;84,63
Dalarnas län;Leksand;2511;23,72;1056;9,98;403;3,81;787;7,44;3110;29,38;515;4,87;614;5,8;1247;11,78;264;2,49;77;0,73;120;1,12;3;0,03;10584;10707;12240;87,48
Dalarnas län;Ludvika;2590;15,38;691;4,1;522;3,1;402;2,39;6836;40,59;1287;7,64;780;4,63;3363;19,97;287;1,7;83;0,49;226;1,32;32;0,19;16841;17099;20005;85,47
Dalarnas län;Malung-Sälen;1506;22,57;575;8,62;247;3,7;157;2,35;2414;36,17;315;4,72;181;2,71;1154;17,29;61;0,91;64;0,96;89;1,32;5;0,07;6674;6768;7937;85,27
Dalarnas län;Mora;2629;19,54;1338;9,94;386;2,87;416;3,09;4776;35,49;605;4,5;625;4,64;2279;16,94;232;1,72;171;1,27;139;1,02;6;0,04;13457;13602;16106;84,45
Dalarnas län;Orsa;666;14,46;493;10,7;127;2,76;147;3,19;1523;33,06;261;5,67;230;4,99;956;20,75;134;2,91;70;1,52;33;0,71;0;0;4607;4640;5470;84,83
Dalarnas län;Rättvik;1593;21,36;760;10,19;270;3,62;257;3,45;2362;31,67;337;4,52;359;4,81;1270;17,03;141;1,89;109;1,46;113;1,49;3;0,04;7458;7574;8949;84,64
Dalarnas län;Smedjebacken;1109;15;401;5,43;139;1,88;158;2,14;3262;44,13;493;6,67;269;3,64;1365;18,47;138;1,87;57;0,77;81;1,08;0;0;7391;7472;8550;87,39
Dalarnas län;Säter;1376;18,58;772;10,43;217;2,93;239;3,23;2489;33,61;398;5,37;284;3,84;1393;18,81;171;2,31;66;0,89;96;1,28;1;0,01;7405;7502;8594;87,29
Dalarnas län;Vansbro;640;14,41;629;14,16;96;2,16;263;5,92;1623;36,55;253;5,7;121;2,72;720;16,21;37;0,83;59;1,33;67;1,49;0;0;4441;4508;5343;84,37
Dalarnas län;Älvdalen;638;13,53;452;9,59;109;2,31;105;2,23;1955;41,47;211;4,48;109;2,31;1028;21,81;55;1,17;52;1,1;67;1,4;2;0,04;4714;4783;5586;85,62
Gotlands län;Gotland;8450;21,31;5317;13,41;1494;3,77;1095;2,76;12774;32,21;2308;5,82;2859;7,21;3259;8,22;1764;4,45;335;0,84;498;1,24;22;0,05;39655;40175;46466;86,46
Gävleborgs län;Bollnäs;2612;15,21;1444;8,41;526;3,06;546;3,18;6672;38,86;1012;5,89;720;4,19;3191;18,58;338;1,97;109;0,63;154;0,89;7;0,04;17170;17331;20669;83,85
Gävleborgs län;Gävle;13500;21;2753;4,28;3248;5,05;2087;3,25;21915;34,08;4310;6,7;3991;6,21;10170;15,82;1685;2,62;640;1;552;0,85;24;0,04;64299;64875;74732;86,81
Gävleborgs län;Hofors;681;11,16;274;4,49;171;2,8;106;1,74;2893;47,43;660;10,82;182;2,98;975;15,98;95;1,56;63;1,03;66;1,07;3;0,05;6100;6169;7332;84,14
Gävleborgs län;Hudiksvall;3940;16,18;2233;9,17;687;2,82;809;3,32;9352;38,41;1698;6,97;1461;6;3349;13,75;597;2,45;224;0,92;234;0,95;8;0,03;24350;24592;29090;84,54
Gävleborgs län;Ljusdal;2278;18,8;1041;8,59;383;3,16;291;2,4;4420;36,47;676;5,58;592;4,88;2009;16,58;319;2,63;110;0,91;133;1,09;2;0,02;12119;12254;14771;82,96
Gävleborgs län;Nordanstig;907;14,62;583;9,4;212;3,42;227;3,66;2398;38,65;357;5,75;228;3,68;1127;18,17;109;1,76;56;0,9;76;1,21;1;0,02;6204;6281;7411;84,75
Gävleborgs län;Ockelbo;502;12,93;440;11,34;83;2,14;86;2,22;1489;38,37;229;5,9;142;3,66;804;20,72;79;2,04;27;0,7;35;0,89;2;0,05;3881;3918;4598;85,21
Gävleborgs län;Ovanåker;1108;14,42;1028;13,38;167;2,17;632;8,22;2802;36,47;291;3,79;270;3,51;1228;15,98;86;1,12;72;0,94;78;1;0;0;7684;7762;9117;85,14
Gävleborgs län;Sandviken;3830;15,48;1273;5,15;921;3,72;677;2,74;10816;43,72;1763;7,13;961;3,88;3789;15,31;456;1,84;255;1,03;214;0,86;10;0,04;24741;24965;28988;86,12
Gävleborgs län;Söderhamn;2553;15,05;1175;6,93;442;2,61;470;2,77;7393;43,57;1058;6,24;691;4,07;2687;15,84;289;1,7;209;1,23;153;0,89;6;0,04;16967;17126;20241;84,61
Hallands län;Falkenberg;6516;23,19;3177;11,31;1137;4,05;1104;3,93;9158;32,59;1094;3,89;1615;5,75;3666;13,05;466;1,66;166;0,59;310;1,09;10;0,04;28099;28419;32975;86,18
Hallands län;Halmstad;15501;24,61;3940;6,25;3379;5,36;2454;3,9;21043;33,4;2816;4,47;3926;6,23;7824;12,42;1132;1,8;984;1,56;627;0,99;17;0,03;62999;63643;74040;85,96
Hallands län;Hylte;1061;17,33;739;12,07;258;4,21;200;3,27;2244;36,65;176;2,87;175;2,86;1135;18,54;66;1,08;69;1,13;45;0,73;1;0,02;6123;6169;7322;84,25
Hallands län;Kungsbacka;19909;38;3975;7,59;4254;8,12;2884;5,51;8936;17,06;1506;2,87;3160;6,03;6281;11,99;1042;1,99;439;0,84;420;0,8;22;0,04;52386;52828;58477;90,34
Hallands län;Laholm;3882;24,79;1764;11,26;612;3,91;607;3,88;4234;27,04;468;2,99;793;5,06;2867;18,31;231;1,48;203;1,3;193;1,22;1;0,01;15661;15855;18430;86,03
Hallands län;Varberg;10392;25,17;3772;9,14;2167;5,25;1739;4,21;12947;31,36;1725;4,18;2515;6,09;4782;11,58;829;2,01;423;1,02;444;1,06;9;0,02;41291;41744;47158;88,52
Jämtlands län;Berg;809;17,01;742;15,6;84;1,77;82;1,72;1855;39;216;4,54;179;3,76;671;14,11;84;1,77;35;0,74;41;0,85;1;0,02;4757;4799;5653;84,89
