kommun, folkmangd
Stockholm, 2 198 044
Botkyrka, 88 901
Danderyd, 32 295
Ekerö, 26 698
Haninge, 82 407
Huddinge, 104 185
Järfälla, 70 701
Lidingö, 45 465
Nacka, 96 217
Norrtälje, 57 568
Nykvarn, 9 815
Nynäshamn, 27 041
Salem, 16 140
Sigtuna, 44 085
Sollentuna, 69 325
Solna, 74 041
Stockholm, 911 989
Sundbyberg, 44 090
Södertälje, 92 235
Tyresö, 45 390
Täby, 67 334
Upplands Väsby, 41 816
Upplands-Bro, 25 287
Vallentuna, 31 969
Vaxholm, 11 329
Värmdö, 40 541
Österåker, 41 180
Uppsala, 348 942
Enköping, 41 163
Heby, 13 490
Håbo, 20 034
Knivsta, 16 105
Tierp, 20 245
Uppsala, 207 362
Älvkarleby, 9 169
Östhammar, 21 374
Södermanland, 280 666
Eskilstuna, 100 923
Flen, 16 242
Gnesta, 10 513
Katrineholm, 33 268
Nyköping, 53 508
Oxelösund, 11 551
Strängnäs, 33 878
Trosa, 11 864
Vingåker, 8 919
Östergötland, 442 105
Boxholm, 5 322
Finspång, 21 150
Kinda, 9 795
Linköping, 151 881
Mjölby, 26 428
Motala, 42 556
Norrköping, 135 283
Söderköping, 14 268
Vadstena, 7 393
Valdemarsvik, 7 657
Ydre, 3 660
Åtvidaberg, 11 472
Ödeshög, 5 240
Jönköping, 344 262
Aneby, 6 426
Eksjö, 16 598
Gislaved, 28 737
Gnosjö, 9 509
Habo, 11 110
Jönköping, 132 140
Mullsjö, 7 109
Nässjö, 29 907
Sävsjö, 11 100
Tranås, 18 416
Vaggeryd, 13 229
Vetlanda, 26 647
Värnamo, 33 334
Kronoberg, 189 128
Alvesta, 19 503
Lessebo, 8 256
Ljungby, 27 522
Markaryd, 9 549
Tingsryd, 12 198
Uppvidinge, 9 222
Växjö, 86 970
Älmhult, 15 908
Kalmar, 235 598
Borgholm, 10 681
Emmaboda, 9 009
Hultsfred, 13 738
Högsby, 5 782
Kalmar, 64 676
